,question,answers
4741,What is the title of episode Natalie created of The Amazing Race 21?," ""Chill Out, Freak (Dhaka, Bangladesh)"" – ""Natalie"""
4742,Who was married to Woodroof?,"The real Woodroof also had an ex-wife, Brenda, a daughter and a sister who were not approached by the writers and were left out of the script to make the film more of a character study."
4743,If children can't swim by what age do they receive intensive daily lessons?,"In the UK, the ""Top-ups scheme"" calls for school children who cannot swim by the age of 11 to receive intensive daily lessons."
4744,Are all types of cellular life infected by it?,"They infect all types of cellular life including animals, plants, bacteria and fungi."
4745,"What year did  the women of Boston produce 40,000 skeins of yarn, and 180 women in Middletown, Massachusetts wove of cloth?","In 1769, the women of Boston produced 40,000 skeins of yarn, and 180 women in Middletown, Massachusetts wove of cloth."
4747,How many Jehovah's Witnesses were forced to wear a purple triangle?,"Refusing to pledge allegiance to the Nazi party or to serve in the military, roughly 12,000 Jehovah's Witnesses were forced to wear a purple triangle and were placed in camps where they were given the option of renouncing their faith and submitting to the state's authority."
4748,How many years ago did amphibians first live?,"Amphibians first appeared around 364 million years ago, followed by early amniotes and birds around 155 million years ago (both from ""reptile""-like lineages), mammals around 129 million years ago, homininae around 10 million years ago and modern humans around 250,000 years ago."
4749,What is the duration of the Ferry Corsten Remix?," ""As Long As You Love Me"" (Ferry Corsten Remix) - 5:42"
4750,"""The Poet,"" a portrait of Eugène Boch, was created by who?","The portrait of Eugène Boch is called ""The Poet"" and the portrait of Paul Eugène Milliet is called ""The Lover."""
4751,What kind of flavor does miso ramen broth have?,"Miso ramen broth tends to have a robust, tangy flavor, so it stands up to a variety of flavorful toppings: spicy bean paste or ""t?banjan"" (???), butter and corn, leeks, onions, bean sprouts, ground pork, cabbage, sesame seeds, white pepper, and chopped garlic are common."
4752,What flavors of Ramen are there?,"There are few kinds of flavor such as ""tonkotsu"" and curry."
4753,"What year was ""The Protestant Reformation: Major Documents"" published?","St. Louis: Concordia Publishing House, 1997."
4754,Where will you see the damaged teddy bear in Jane's room?,"The teddy bear can also be spotted on the mural on Jane's bedroom wall during the final episode of the second season, further connecting the crash to Jane."
4755,When did the Premier Events in Tennis begin?,The Premier events were introduced in 2009 replacing the previous Tier I and II tournament categories.
4757,What is the definition of hong chang in Chinese?,"A European-like-style smoked savory ""hóng cháng"" (?? ""red sausage"") is produced in Harbin, China's northernmost major city."
4758,Where is the Space Needle located?,"The Space Needle is an observation tower in Seattle, Washington, a landmark of the Pacific Northwest, and a symbol of Seattle."
4760,What band is Dan Messe a founder and member of?,"On 23 August 2013 composer Dan Messe, one of the founders and members of the band Hem, confirmed speculation that he would be writing the score for a musical adaptation of Amelie to premiere on Broadway."
4762,Which treaty forced Bulgaria to give up most of the territories it had gained in the First Balkan War?,"In the resulting Treaty of Bucharest, Bulgaria lost most of the territories it had gained in the First Balkan War."
4763,"What kind of fragments did they use for Bane's vest in the movie ""The Dark Knight Rises""","We made parts of his vest, for example, from fragments of an old military tent."
4764,Which metalcore band did a cover of this song?, American metalcore band We Came as Romans released a cover of this song for the compilation album Punk Goes Pop 5.
4765,When did the National Service Riots happen?,"The 1954 National Service Riots, Chinese middle schools riots and Hock Lee bus riots in Singapore were all linked to these events."
4766,What was the year of admittance into the UN for Italy?,"Italy was admitted to the United Nations in 1955, and it is a member and strong supporter of a wide number of international organizations, such as the Organisation for Economic Co-operation and Development (OECD), the General Agreement on Tariffs and Trade/World Trade Organization (GATT/WTO), the Organization for Security and Co-operation in Europe (OSCE), the Council of Europe, and the Central European Initiative."
4767,The attackers supposedly followed whom?,"These attackers became known as Luddites, supposedly followers of Ned Ludd, a folklore figure."
4768,What is the population of Tabriz?,"The fourth major city of Iran is Tabriz (population 1,378,935), the capital of the East Azerbaijan Province."
4769,Who confirmed the date of filming for the sequel to Before Sunset?,"""In June 2012, Hawke confirmed that the sequel to ""Before Sunset"" would be filmed in summer 2012."
4770,What  is the number of team  timeouts  that are allowed per period?,"As of 2012, the representative may call a total of three team timeouts, with a maximum of two per period."
4771,"Who produced ""I Want to Hold Your Hand"" of The Beatles?","Their record producer, George Martin, having waited some hours for them to show up, was outraged and insisted that they give it a try."
4772,How are potentials used?,Potentials are used to measure energy changes in systems as they evolve from an initial state to a final state.
4773,"Where did tacos de pescado (""fish tacos"") orginiate?"," Tacos de pescado (""fish tacos"") originated in Baja California in Mexico, where they consist of grilled or fried fish, lettuce or cabbage, pico de gallo, and a sour cream or citrus/mayonnaise sauce, all placed on top of a corn or flour tortilla."
4776,"Who provided guest vocals on ""We Are Young"" because of his/her friendship with Bhasker?","The band invited Janelle Monáe to provide guest vocals on ""We Are Young"" through her friendship with Bhasker."
4777,Which thermodynamic reasoning approach did the founders of thermodynamics favor?,This is part of the reason why the founders of thermodynamics often preferred the cyclic process description.
4778,When the the Berlin Wall fall?,"The tidal wave of change culminated with the fall of the Berlin Wall in November 1989, which symbolized the collapse of European Communist governments and graphically ended the Iron Curtain divide of Europe."
4779,What does the theory of photoelectric effect tell us?,The theory of the photoelectric effect must explain the experimental observations of the emission of electrons from an illuminated metal surface.
4780,What date was the aurora detected?,"An aurora was also detected on Mars, on 14 August 2004, by the SPICAM instrument aboard Mars Express."
4781,Kano gave out first grades in which year?,"In August, the following year, the pair were granted grades, the first that had been awarded in any martial art."
4782,Paul McCartney was lead vocals for what band?,"Paul McCartney – lead vocal, piano, bass"
4783,Which museum has the most comprehensive collection of Indian sculptures?,"The most comprehensive collection of sculpture from the Indian subcontinent in the world, including the celebrated Buddhist limestone reliefs from Amaravati"
4784,"A hit that is long, high arched, and goes to the back corner of the court is called what?","A plain lob serve is a ball hit with a long, high arch into either back corner."
4785,In which day Barney slapped as third time?,"Barney is slapped for the third time on Thanksgiving, which Marshall dubs ""Slapsgiving."
4786,What day was Harwit forced to resign?,Harwit was forced to resign on May 2.
4787,What office did kennedy run for in 1968?,Kennedy was campaigning for the 1968 Democratic presidential nomination and had spoken at the University of Notre Dame and Ball State University earlier that day.
4788,During which year(s) did the Russian army withdraw from the Caucasus front?,"With the withdrawal of the Russian armies from the Caucasus front in the winter of 1917–18, the three major republics braced for an imminent Ottoman advance, which commenced in the early months of 1918."
4790,"Who ranked ""Tiny Bubbles"" fifth on his ""Top 10 Episodes of 2009"" list?","James Poniewozik from ""Time"" magazine ranked Nurse Jackie's episode ""Tiny Bubbles"" (106) as 5th on his ""Top 10 Episodes of 2009"" list."
4791,What fault zone traverses Central Park?,Cameron's Line is a fault zone that traverses Central Park on an east-west axis.
4793,What are the five most well known potentials?,"The five most well known potentials are:where formula_1 is the temperature, formula_2 the entropy, formula_3 the pressure, formula_4 the volume, formula_5 the chemical potential, formula_6 the number of particles in the system, and formula_7 is the count of particles types in the system."
4794,When was  Cristina Fernandez first elected and when did he become reelected?,"He did not run for reelection, promoting instead the candidacy of his wife, senator Cristina Fernández de Kirchner, who was elected in 2007 and reelected in 2011."
4795,Which Island is Victoria Peak located?,"Victoria Peak (, or previously ) is a mountain in the western half of Hong Kong Island."
4796,What score did Moonrise Kingdom receive from Rotten Tomatoes?,"""Moonrise Kingdom"" received widespread acclaim; review aggregation website Rotten Tomatoes gives the film a rating of 94% based on reviews from 223 critics, with an average score of 8.2/10."
4797,When was karate introduced in Canada?,Karate began in Canada in the 1930s and 1940s as Japanese people immigrated to the country.
4798,Where is the only Barney's store in Las Vegas?, The Shoppes at The Palazzo feature luxury stores including the only Barneys New York department store in Las Vegas.
4799,What are the majority of mutations that are selected against?,Most loss of function mutations are selected against.
4800,What is the maximum physical size limit for refracting telescopes?,"The maximum physical size limit for refracting telescopes is about 1 meter (40 inches), dictating that the vast majority of large optical researching telescopes built since the turn of the 20th century have been reflectors."
4801,Who is coffee sold by?,"Coffee is bought and sold by roasters, investors, and price speculators as a tradable commodity in commodity markets and exchange-traded funds."
4802,When was Viva La Vida released on Itunes?,"""Viva la Vida"" was initially released only with iTunes Store pre-orders of ""Viva la Vida or Death and All His Friends"" on 7 May 2008 – the ""new edit"" version of the song – which led to the song's temporary exclusion from the UK Singles Chart."
4803,What runs through Mears Transportation?,The Super Star Shuttle is run through Mears Transportation.
4804,Who played Uncle Scott in season 1?, Bruce Gray as Uncle Scott (season 1)
4805,How many seasons did Doctor Who run for?,"""Doctor Who"" originally ran for 26 seasons on BBC One, from 23 November 1963 until 6 December 1989."
4806,Are defensive and offensive positions similar or different?,"Defensive positions are often the same positionally, but just switched from offense to defense."
4807,What year did The Lion King come out?,"""The Lion King"" was released on June 15, 1994 to a positive reaction from critics, who praised the film for its music and story."
4808,Which year did Qin Shi Huang unify China?,"Qin Shi Huang conquered all opposing states and unified China in 221 BC, establishing the Qin Dynasty."
4809,What was the Pilgrims' stance on Christmas?,The Pilgrims of New England disapproved of Christmas and celebration was outlawed in Boston from 1659 to 1681.
4810,The Toy Story soundtrack was produced by who?,"The soundtrack for ""Toy Story"" was produced by Walt Disney Records and was released on November 22, 1995, the week of the film's release."
4811,how long ago did the Liberation Army defeat the KMT,"In 1949, Mao Zedong's People's Liberation Army defeated Chiang Kai-shek's United States-backed Kuomintang (KMT) Nationalist Government in China, and the Soviet Union promptly created an alliance with the newly formed People's Republic of China."
4812,"Whats the difference between a ""Berliner"" and ""Kamerunner""?","""Berliner"" do not have the typical ring shape, but instead are solid and usually filled with jam, while a ring-shaped variant called ""Kameruner"" is common in Berlin and eastern Germany."
4813,How does cheese protect tooth enamel?," The calcium, protein, and phosphorus in cheese may act to protect tooth enamel."
4814,Are there any countries on the planet that don't practice general medicine?,Contemporary medicine is in general conducted within health care systems.
4815,Why was there an absence of enthusiasm for Tammany Hall political machine?,"One of the main reasons for this was the lack of interest of the Tammany Hall political machine, which was the largest political force in New York at the time."
4817,Who portayed Wadjda in the movie Wadjda., Waad Mohammed as Wadjda (????)
4818,What was the 9th track?," ""Main Man"" (T. Rex cover) by Portugal."
4819,Which ocean is Easter Island surrounded by?,"Finally, Easter Island in the Pacific Ocean is one of the main Chilean tourist destinations."
4820,"Who said, ""You cannot write a song any better than that, because that's how this kind of thing happens in real life.""","He concluded, ""You cannot write a song any better than that, because that's how this kind of thing happens in real life."""
4821,What community does not support astrology?,Astrology has been rejected by the scientific community as having no explanatory power for describing the universe.
4822,Was Sweden responsible for the revolt and impending war with Britian?,"A slave revolt in Haiti and an impending war with Britain, however, led France to abandon these plans and sell the entire territory to the United States, which had originally intended only to seek the purchase of New Orleans and its adjacent lands."
4823,Where in Germany is a huge Mercedes-Benz factory located?,"At the huge Mercedes-Benz factory in Sindelfingen, Germany workers use bicycles, color-coded by department, to move around the factory."
4824,How many cameras are used in the recording of Hell's Kitchen?,Numerous cameras (up to 72) allow tight editing and capturing every action
4826,What is a key reason that scholars and economists want to identify causes of the Great Depression?,The search for causes is closely connected to the issue of avoiding future depressions.
4827,Why is there a high level of endemism in Borneo?,"High levels of endemism are found on the diverse forests of Borneo's mountains, as species are isolated from each other by lowland forest."
4828,Who does Stella get back together with?,"Stella leaves Ted at the altar to get back together with Tony (Jason Jones), the father of her daughter."
4829,How long of a ban did Panahi have on film-making?,"Panahi is under house arrest, awaiting the result of his appeal of a six-year prison sentence and twenty-year ban on film-making, leaving the country or giving media interviews for ""propaganda against the regime""."
4830,"""Moves Like Jagger"" debuted at what position?","On the issue dated July 9, 2011, ""Moves like Jagger"" debuted at number eight on the United States ""Billboard"" Hot 100, and topped the ""Billboard"" Hot 100, in the week ending September 10, 2011, as the greatest airplay gainer for the third consecutive week."
4831,When were a large number of fake Salvador Dali paintings produced?,"In addition, a large number of fakes were produced in the 1980s and 1990s, thus further confusing the Dalí print market."
4832,When did Romania become a kingdom?,"In 1881, the principality was raised to a kingdom and Prince Carol became King Carol I of Romania."
4833,How many copies of the song sold in the United States as of May 2013?,"As of May 2013, the song has sold 3,600,000 copies in the United States."
4834,What was Mike Tyson notoriously known for?,"Some in-fighters, like Mike Tyson, have been known for being notoriously hard to hit."
4835,What allowed for less population loss in Russia during plagues compared to other nations?,"However, because of the lower population density and better hygiene (widespread practicing of banya, the wet steam bath), the population loss caused by plagues was not so severe as in the Western Europe, and the pre-Plague populations were reached in Russia as early as 1500."
4836,Did Ken Tucker have a positve impression of the series?,"Ken Tucker of ""Entertainment Weekly"" gave the series a B grade, saying it contains ""a mixture of sarcasm and sentimentality that isn't remotely realistic, but can be funny."""
4837,"Who won World War II due, in part, to the contributions of breaking the Enigma code?"," In cryptography, breaking the Enigma code was an important factor contributing to the Allied victory in World War II."
4838,"who provides world class education in science, medicine, and engineering","UNAM provides world class education in science, medicine, and engineering."
4839,How many ships currently fly the Greek flag?,"Additionally, the total number of ships flying a Greek flag (includes non-Greek fleets) is 1,517, or 5.3% of the world's dwt (ranked 5th)."
4840,What was the first week sales of The Motto?,"The song debuted at #18 on the U.S. ""Billboard"" Hot 100 chart with first-week sales of 124,000."
4841,What is the degree of slope of the Capital Gate Tower,"The Capital Gate tower has an 18-degree slope, almost five times more than the Pisa Tower; however the Capital Gate tower has been deliberately engineered to slant."
4842,In what year did de Gondi buy the seigneury of Versailles?,"In 1575, the seigneury of Versailles was bought by Albert de Gondi, a naturalized Florentine, who invited Louis XIII on several hunting trips in the forests surrounding Versailles."
4843,Who does Gus order to take over the lab?,Gus begins to lose trust in Walter and asks Gale to take over the lab.
4844,When were the executives of VitaminWater approached for a placement deal?,"In the summer of 2008, executives of VitaminWater approached The CW for a placement deal."
4845,What is the location of the Grand Terminal?,"Grand Central Terminal (GCT) is a commuter (and former intercity) railroad terminal at 42nd Street and Park Avenue in Midtown Manhattan in New York City, United States."
4846,Charlie Bisharat played violin for what songs?,"Violin– Charlie Bisharat, Josefina Vergara"
4847,Sliding shoes are worn by curlers during what activity?,It is worn by the thrower during delivery from the hack and by sweepers or the skip to glide down the ice when sweeping or otherwise traveling down the sheet quickly.
4848,What is the objective of the defensive chop?,The object of a defensive chop is to match the topspin of the opponent's shot with backspin.
4850,When did the Pharaoh Khufu live?,"Rainer Stadelmann, former director of the German Archaeological Institute in Cairo, examined the distinct iconography of the ""nemes"" (headdress) and the now-detached beard of the Sphinx and concluded that the style is more indicative of the Pharaoh Khufu (2589–2566 BC), builder of the Great Pyramid of Giza and Khafra's father."
4851,How many different package styles do the noodles come in?,"This is even noticeable in packaged instant noodles, which are often sold in two different versions for east and west."
4852,WHat is the definition of Ramen?,"Over time, the term ""ramen"" became used in North America to refer to other instant noodles, even those not technically ramen."
4854,On what day did Lights become engaged?,"On August 30, 2011, Lights became engaged to Bokan."
4855,What name did the burger restaurant Wimpy's change to in 1989-1990?,"In the late 1970s, to compete with McDonald's, Wimpy began to open American-style counter-service restaurants and the brand disappeared from many UK high streets when those restaurants were re-branded as Burger Kings between 1989–90 by the then-owner of both brands, Grand Metropolitan."
4856,What do you call the red balls?,The red ball is the fastest in production and they are known as Red Ektelon Fireballs.
4857,What number of buildings are still in mecca that were also there in the time of Muhammad?,It has been reported that there now are fewer than 20 structures remaining in Mecca that date back to the time of Muhammad.
4858,"Where doe the Italian word ""coffee"" come from?","In English and other European languages, ""coffee"" descends from the Italian word ""caffè""."
4859,"Who worked on the ""Every Breath You Take"" video and won the MTV cinemetography award for his work?",Daniel Pearl won the first MTV cinematography award for his work on the video.
4860,In what year did the Iranian revolution take place?,"Since the 1979 revolution the persecution of Bahá'ís has increased with executions, the denial of civil rights and liberties, and the denial of access to higher education and employment."
4861,When did the film make $200 million?,"On August 5, 2010, the film crossed the $200 million mark, becoming the first Universal film to reach the milestone since 2007's ""The Bourne Ultimatum""."
4863,What are the genders of Jesse and Celine's kids?,"Nine years after the conclusion of ""Before Sunset"", Jesse (Hawke) and Céline (Delpy) are a couple and parents to twin girls conceived when they got together for the second time."
4864,On what date did the final episode air?,"The series finale episode aired on May 20, 2013."
4865,What does it mean when atoms are sticking to each other?,Atoms sticking together in molecules or crystals are said to be bonded with one another.
4866,Where did Wood enter American Gothic in a competition?,Wood entered the painting in a competition at the Art Institute of Chicago.
4867,"When did the term ""vegetable"" become synonymous with plants grown for food?","The meaning of ""vegetable"" as ""plant grown for food"" was not established until the 18th century."
4868,"How many people watched the ""Family Guy"" premier?","""Family Guy"" officially premiered after Fox's broadcast of Super Bowl XXXIII on January 31, 1999, with ""Death Has a Shadow""."
4869,"At what number did ""We Are Never Getting Back Together"" arrive on the charts in Spain?","It also appeared in Netherlands at number sixteen, in Spain at number nine."
4870,How can a person descripe a swarmer's essence?,The essence of a swarmer is non-stop aggression.
4871,Slopes facing which direction receive the full amount of sunlight in the Sonoran Desert?,The south-facing slopes receive the full amount of sunlight and are covered in vegetation typical of the Sonoran Desert.
4872,How much did Kung Fu Panda gross on its opening day?,"""Kung Fu Panda"" opened in 4,114 theaters, grossing $20.3 million on its opening day and $60.2 million on its opening weekend, resulting in the number one position at the box office."
4873,Who became their keyboardist?,"Soon afterward, the band learned piano-playing roadie Billy Powell had written an intro to the song; upon hearing it, they included it as the finishing touch and had him formally join as their keyboardist."
4874,What does Ecology study?,"Ecology studies the distribution and abundance of living organisms, and the interactions between organisms and their environment."
4875,"In the ending of which computer game DLC is ""Jingle Bell Rock"" used?"," The song is used in the ending of the """"How the Saints Save Christmas"""" downloadable content for ""Saints Row IV""."
4876,Where did Van Gogh get his first art supplies?,"Likewise, a long-standing family friend, Hermanus Tersteeg, an influential art dealer who taught van Gogh and his brother Theo a great deal about art and literature, and who gave van Gogh his first set of art supplies when he decided to become an artist, although he was always somewhat equivocal in his support, abruptly withdrew at the same time."
4877,"On the morning of Abraham Lincoln's murder, who said Lincoln looked cheerful?","Hugh McCulloch, the new Secretary of the Treasury, remarked that on that morning, ""I never saw Mr. Lincoln so cheerful and happy""."
4878,What texture does the koeksister have?,It has a texture similar to more traditional doughnuts as opposed to the Afrikaans variety.
4879,Who does Amanda Setton play in The Mindy Project?,"Amanda Setton as Shauna Dicanio (Episodes 1–12), was a receptionist at the office."
4880,Which type of art was popular in Winchester and Canterbury?,"Later Gothic art was popular at Winchester and Canterbury, examples survive such as Benedictional of St. Æthelwold and Luttrell Psalter."
4881,Why were the beech crosspieces switched to maple in 1970?,"In 1970, the beech crosspieces were switched to maple after it was found that the beechwood had been infested with insects."
4882,Who was the Mona Lisa painted by?,"The Mona Lisa (Monna Lisa or La Gioconda in Italian; La Joconde in French) is a half-length portrait of a woman by the Italian artist Leonardo da Vinci, which has been acclaimed as ""the best known, the most visited, the most written about, the most sung about, the most parodied work of art in the world."
4883,What NASA chief commented on the tv mission highlights for Apollo 11?,"In addition to throngs of people crowding highways and beaches near the launch site, millions watched the event on television, with NASA Chief of Public Information Jack King providing commentary."
4885,"Hispania is possibly a derivation of I-Shipania, a Punic word. What does this translate as?","It may also be a derivation of the Punic ""I-Shpania"" (?? ?????), meaning ""island of rabbits"", ""land of rabbits"" or ""edge"", a reference to Spain's location at the end of the Mediterranean; Roman coins struck in the region from the reign of Hadrian show a female figure with a coney at her feet, and Strabo called it the ""land of the rabbits""."
4886,"""Life is Strange"" is done by who?"," ""Life Is Strange"" by T. Rex – 2:32"
4887,Who investigated whether Lee Harvey Oswald was to blame for the assassination of JFK?, The Federal Bureau of Investigation conducted a thorough and professional investigation into the responsibility of Lee Harvey Oswald for the assassination.
4888,How do you control the orientation of an MRI image?,The orientation of the image is controlled by varying the main magnetic field using gradient coils.
4889,"What is the length of ""Das Boot""?","However, today's Director's Cut of ""Das Boot"" amounts to over 200 minutes, and the complete TV version of the film is 282 minutes long."
4890,When does narcosis start to affect some divers?,Narcosis starts to affect some divers at 66 feet (20 m).
4891,When are children required to go to school?,School attendance is compulsory between the ages of 5 and 17.
4892,What competition was the painting American Gothic entered into?,Wood entered the painting in a competition at the Art Institute of Chicago.
4893,How many missions did NASA's space shuttle program have before ending?,"NASA's Space Shuttle program had 135 missions when the program ended with the successful landing of the Space Shuttle ""Atlantis"" at the Kennedy Space Center on July 21, 2011."
4894,Where is Sambo from?,"It is an acronym for ""self-defence without weapons"" in Russian and had its origins in the Soviet armed forces."
4895,What is another name for a reception in volleyball?,"Also called reception, the pass is the attempt by a team to properly handle the opponent's serve, or any form of attack."
4896,Who is Mindy's former boyfriend?," Tommy Dewey as Josh Daniels, a lawyer; Mindy's former boyfriend."
4897,On which weekends did the film stay at number one?,The film stayed at number one at the box office during its second and third weekends.
4898,What song from the movie Das Boot was not written by the same composer who penned the title song?,"The official soundtrack features only compositions by Doldinger, except for ""J'attendrai"" sung by Rina Ketty."
4899,Who released the Terminator soundtrack?,The soundtrack album was originally released through Enigma Records.
4900,Is there restricitons to traveling of the Free shuttles?,Some of the shuttles have a policy requiring a room key from an affiliated casino.
4901,How old is Yoshikazu?,"The 50-year-old elder son, Yoshikazu (??), obligated to succeed his father, still works for Jiro and is faced with the prospect of one day taking over the flagship restaurant."
4903,When was Sweden attacked by Denmark,The second occasion was the Kalmar War when King Christian IV attacked Sweden in 1611 but failed to accomplish his main objective of forcing Sweden to return to the union with Denmark.
4904,How much did the limited release of the movie gross?,"The limited release of ""Zero Dark Thirty"" grossed $417,150 in the United States and Canada in only five theaters."
4906,"Who met in the scene called ""Time Crash"" on the Doctor Who show?","It was followed in November 2007 by ""Time Crash"", a 7-minute scene which featured the Tenth Doctor meeting the Fifth Doctor (played once again by Peter Davison)."
4907,In what year did Jim Savage lead the Mariposa Battalion west?,"In 1851 as part of the Mariposa Wars intended to suppress Native American resistance, United States Army Major Jim Savage led the Mariposa Battalion into the west end of Yosemite Valley."
4908,What day and month did the countries declare war on Germany?,"The two countries had pacts with Poland and had declared war on Germany on 3 September, though in the end their aid to Poland in the September campaign was very limited."
4909,How long is the Lovelife remix," ""Counting Stars"" (Lovelife remix) – 3:55"
4910,Who is the artist responsible for additional vocal production?,The American songwriter Makeba Riddick provided additional vocal production.
4911,Where were Poland's most valuable resources located?,"Poland's most valuable natural resources, industry and population were located along the western border in Eastern Upper Silesia."
4912,"What was ""Teen Wolf"" ranked in it's opening weekend?","Released on August 23, 1985, ""Teen Wolf"" debuted at #2 in its opening weekend, behind ""Back to the Future"" (also starring Michael J."
4913,When was the Northern Seven Years War?,The first was in the Northern Seven Years' War which lasted from 1563 until 1570.
4914,"What year was ""The Red Armchair"" painted?","A nanoprobe of Picasso's ""The Red Armchair"" (1931) by physicists at Argonne National Laboratory in 2012 confirmed art historians' belief that Picasso used common house paint in many of his paintings."
4915,What at the National Air and Space Museum is referred to as Rocket Row?,Larger missiles and rockets were displayed outdoors in what was known as Rocket Row.
4916,How is a fish steak made?,"Meat steaks are usually grilled, pan-fried, or broiled, while fish steaks may also be baked."
4917,How many locations can keep stocks of the smallpox virus?,There are only two centers in the world that are authorized by the WHO to keep stocks of smallpox virus: the Vector Institute in Russia and the Centers for Disease Control and Prevention in the United States.
4918,what is one of the oldest forms of combat,Wrestling represents one of the oldest forms of combat.
4919,"On May 8th 1945, who caused the Germans to surrender?","This led to a chain of Soviet victories which pushed the Germans back to Berlin in just one year, leading to the surrender of Germany on 8 May 1945."
4920,What number of shrines are in the Forbidden City?,"There were two Taoist shrines, one in the imperial garden and another in the central area of the Inner Court."
4921,When did Warhol first show his work?,He began exhibiting his work during the 1950s.
4922,"What exactly makes Jerusalem such a special place of importance for Mulims, Christians, and Jews alike?","The city of Jerusalem is of special importance to Jews, Muslims and Christians as it is the home of sites that are pivotal to their religious beliefs, such as the Israeli-controlled Old City that incorporates the Western Wall and the Temple Mount, the Al-Aqsa Mosque and the Church of the Holy Sepulchre."
4923,What is an advantage of counter hitting?,"A large advantage in counter-hitting is the forward momentum of the attacker, which drives them further into your return strike."
4924,Who played Joshua in the movie Life is Beautiful?, Giorgio Cantarini as Joshua
4925,How many chambers are in the Lincoln memorial?,The interior of the Memorial is divided into three chambers by two rows of Ionic columns.
4926,Who portrays Father Michael?, John Benjamin Hickey as Father Michael
4927,How many people work at the Disneyland Resort?,"According to a March 2005 report from the Disney Company, there are 65,700 jobs supported by the Disneyland Resort, which includes, at the Resort itself, 20,000 direct Disney employees and 3,800 third-party employees (that is, independent contractors or their employees)."
4928,What does bibimbap mean?,"The word literally means ""mixed rice""."
4929,What is the definition of a person swimming?,"Human swimming is the self propulsion of a person through water or other liquid, for survival, recreation, sport, exercise or other reason."
4930,What was the most important condition of the offer?,"In addition, the most important condition was that every country choosing to take advantage of the plan would need to have its economic situation independently assessed—a level of scrutiny to which the Soviets could not agree."
4931,What was the name of the first female nurse to be killed by gunfire?,"First Lieutenant Sharon Lane was the only female military nurse to be killed by enemy gunfire during the war, on 8 June 1969."
4932,"How old is Suzy Bishop from ""Moonrise Kingdom"" and where and with whom does she live?","Suzy Bishop, also 12, lives on the island with her parents, Walt and Lauraboth attorneysand her three younger brothers in a house called Summer's End."
4933,What typesw of cakes are associated with Christmas?,There has been a long tradition of decorating an iced cake at Christmas time; other cakes associated with Christmas include chocolate log and mince pies.
4934,What was the release date in France for This is Not a Film?,"It was released on 28 September 2011 in France, distributed by Kanibal Films Distribution."
4935,Wat did Roger Ebert say in All is Lost,"Speaking of the experience of working on the film, Ebert said, ""This project was a dream—an open space to play in but also space to listen to the elements—wind, water, rain, sun, are the story's other characters to me."
4936,What are the roles that molecules play of chemical substances of food?,"In this process, molecules of chemical substances that constitute food play two roles; first, they contain energy that can be transformed for biological chemical reactions; second, they develop new molecular structures made up of biomolecules."
4937,Did ABC Give a reason to the change in who would play the role?,ABC gave no reason for this change.
4938,What year was the film Rio Bravo made?,"Scott suggested that certain parts of the film permeated a charm that he felt was similar to the western film ""Rio Bravo"" (1959)."
4939,Who were the recipients of the letters from the Oceanic Preservation Society and The Orca Project?,"The Oceanic Preservation Society and The Orca Project, a non-profit focusing on orca in captivity, responded with open letters criticizing SeaWorld's claims."
4940,What is the human population of the Exclusion Zone?,"It is largely uninhabited, except for about 300 residents who have refused to leave."
4941,"since 1991, how many orthodox churches have been rebuilt?","A total of 23,000 Orthodox churches have been rebuilt between 1991 and 2010, which effectively quadrapled the number of operating churches in Russia."
4942,"What year did the series finale of ""Friends"" take place?","After the series finale in 2004, LeBlanc signed on for the spin-off series, ""Joey"", following Joey's move to Los Angeles to pursue his acting career."
4943,When did Quigley's role end?,"However, Quigley's role ended in 1988 when it became public through the memoirs of former chief of staff, Donald Regan."
4944,The prisons were closed in which locations?,"Prisons were closed in the towns of Åby, Håja, Båtshagen, and Kristianstad."
4946,What are common filling options for donuts?,"Fillings include jam, custard, cream, sweet mincemeat, chocolate and apple."
4947,In who's name did her family make a charitable donation?,"Her family also asked that the film's U.S. distributors make a charitable donation in Ong's name, and should go on record that the Ong family does not endorse the use of torture."
4948,Where does The U.K. rank in provision of healthcare according to the WHO in the year 2000?,"The World Health Organization, in 2000, ranked the provision of healthcare in the United Kingdom as fifteenth best in Europe and eighteenth in the world."
4949,When did the renminbi become the eighth-most-traded currency in the world?,"As a result of the rapid internationalization of the renminbi, it became the eighth-most-traded currency in the world in 2013."
4950,The South Park pinball machine was released when?,Merchandising related to the show is an industry which generates several million dollars a year.
4951,Several environmental laws were introduced in Japan in response to rising public concern in what year?,"Responding to rising concern about the problem, the government introduced several environmental protection laws in 1970."
4952,"Who was the author of the book series ""Pretty Little Liars""?","Pretty Little Liars is a series of young-adult novels by author Sara Shepard, beginning with 2006's inaugural entry of the same name."
4954,How did Rembrandt typically sign his name on his paintings?,"This may be the first instance of Rembrandt signing a painting with his forename (in its original form) as opposed to the monogramme ""RHL"" (Rembrant Harmenszoon of Leiden), and is thus a sign of his growing artistic confidence."
4955,Why does a wakeboarding boat make it easier to jump?,The high tow point makes it easier to jump and get air as the rope is not pulling downward as when it is attached to the low tow point used for skiing.
4957,How many conquistadores moved on to the Aztec capital?,"500 conquistadores, and later moved on to the Aztec capital."
4958,When was the Grand Central School of Art located in the terminal?,"From 1924 through 1944, the attic of the east wing contained a art school and gallery space called the Grand Central School of Art."
4959,How did the defendant make his case relating to wildlife crime?,He eventually pleaded guilty.
